gridID,Longitude Center,Latitude Center,MonthOfYear,label,% Poverty
2612,-74.21173,40.557083,3,1,60.08
2655,-74.21055,40.512115,3,1,60.08
2659,-74.21055,40.515713,3,1,60.08
2662,-74.21055,40.51841,3,1,60.08
2663,-74.21055,40.51931,3,1,60.08
2665,-74.21055,40.52111,3,3,60.08
2671,-74.21055,40.526505,3,1,60.08
2673,-74.21055,40.528305,3,2,60.08
2675,-74.21055,40.5301,3,2,60.08
2681,-74.21055,40.5355,3,3,60.08
2683,-74.21055,40.537296,3,1,60.08
2684,-74.21055,40.538197,3,2,60.08
2685,-74.21055,40.539097,3,4,60.08
2692,-74.21055,40.54539,3,3,60.08
2694,-74.21055,40.547188,3,1,60.08
2696,-74.21055,40.54899,3,1,60.08
2697,-74.21055,40.54989,3,1,60.08
2698,-74.21055,40.550785,3,2,60.08
2700,-74.21055,40.552586,3,1,60.08
2762,-74.209366,40.52111,3,2,60.08
2763,-74.209366,40.522007,3,1,60.08
2764,-74.209366,40.522907,3,2,60.08
2778,-74.209366,40.5355,3,1,60.08
2779,-74.209366,40.536396,3,1,60.08
2782,-74.209366,40.539097,3,2,60.08
2785,-74.209366,40.541794,3,3,60.08
2788,-74.209366,40.54449,3,1,60.08
2791,-74.209366,40.547188,3,2,60.08
2792,-74.209366,40.548088,3,1,60.08
2793,-74.209366,40.54899,3,1,60.08
2795,-74.209366,40.550785,3,1,60.08
2867,-74.20818,40.525604,3,1,60.08
2868,-74.20818,40.526505,3,1,60.08
2872,-74.20818,40.5301,3,2,60.08
2878,-74.20818,40.5355,3,1,60.08
2882,-74.20818,40.539097,3,4,60.08
2885,-74.20818,40.541794,3,1,60.08
2886,-74.20818,40.542694,3,1,60.08
2892,-74.20818,40.548088,3,1,60.08
2962,-74.207,40.515713,3,1,60.08
2968,-74.207,40.52111,3,2,60.08
2971,-74.207,40.523808,3,1,60.08
2973,-74.207,40.525604,3,1,60.08
2974,-74.207,40.526505,3,1,60.08
2975,-74.207,40.527405,3,1,60.08
2976,-74.207,40.528305,3,1,60.08
2985,-74.207,40.536396,3,2,60.08
2986,-74.207,40.537296,3,2,60.08
2987,-74.207,40.538197,3,2,60.08
3009,-74.207,40.55798,3,3,60.08
3075,-74.20582,40.516613,3,1,60.08
3084,-74.20582,40.524708,3,1,60.08
3092,-74.20582,40.531902,3,1,60.08
3095,-74.20582,40.5346,3,1,60.08
3096,-74.20582,40.5355,3,3,60.08
3099,-74.20582,40.538197,3,2,60.08
3101,-74.20582,40.539993,3,1,60.08
3102,-74.20582,40.540894,3,1,60.08
3103,-74.20582,40.541794,3,1,60.08
3105,-74.20582,40.54359,3,1,60.08
3189,-74.204636,40.515713,3,1,60.08
3191,-74.204636,40.517513,3,1,60.08
3195,-74.204636,40.52111,3,1,60.08
3196,-74.204636,40.522007,3,1,60.08
3207,-74.204636,40.531902,3,1,60.08
3208,-74.204636,40.5328,3,2,60.08
3214,-74.204636,40.538197,3,1,60.08
3217,-74.204636,40.540894,3,1,60.08
3220,-74.204636,40.54359,3,1,60.08
3235,-74.204636,40.557083,3,11,60.08
3304,-74.20345,40.513916,3,1,60.08
3316,-74.20345,40.524708,3,2,60.08
3317,-74.20345,40.525604,3,1,60.08
3327,-74.20345,40.5346,3,2,60.08
3330,-74.20345,40.537296,3,2,60.08
3335,-74.20345,40.541794,3,1,60.08
3351,-74.20345,40.556183,3,6,60.08
3442,-74.20227,40.513916,3,1,60.08
3443,-74.20227,40.514812,3,2,60.08
3445,-74.20227,40.516613,3,1,60.08
3453,-74.20227,40.523808,3,2,60.08
3456,-74.20227,40.526505,3,1,60.08
3458,-74.20227,40.528305,3,1,60.08
3463,-74.20227,40.5328,3,1,60.08
